Quarter,Passenger_revenue
Q1 2017,7174
Q2 2017,8622
Q3 2017,8528
Q4 2017,8080
Q1 2018,8149
Q2 2018,9880
Q3 2018,10120
Q4 2018,9557
Q1 2019,8725
Q2 2019,10486
Q3 2019,10481
Q4 2019,9933
