Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,47.279999,50.000000,43.740002,44.250000,42.760246,147225500
2017-02-01,44.750000,48.049999,43.570000,46.360001,44.799206,110360400
2017-03-01,46.790001,48.139999,39.209999,42.299999,40.966808,177943800
2017-04-01,42.330002,47.389999,40.820000,42.619999,41.276722,136320900
2017-05-01,42.759998,48.820000,42.009998,48.410000,46.884239,130914100
2017-06-01,48.500000,51.950001,48.009998,50.320000,48.838982,133266700
2017-07-01,50.779999,54.480000,48.730000,50.439999,48.955448,111659200
2017-08-01,51.130001,52.000000,42.669998,44.740002,43.423210,122959600
2017-09-01,44.849998,48.599998,42.610001,47.490002,46.185768,131313700
2017-10-01,47.520000,53.740002,46.790001,46.820000,45.534168,118566100
2017-11-01,48.000000,51.160000,45.270000,50.490002,49.103382,73187100
2017-12-01,49.669998,53.470001,48.689999,52.029999,50.711880,80010600
2018-01-01,52.330002,59.080002,51.900002,54.320000,52.943867,121867900
2018-02-01,54.000000,55.599998,46.330002,54.250000,52.875633,91995200
2018-03-01,54.139999,57.439999,50.049999,51.959999,50.741047,82819400
2018-04-01,51.770000,53.080002,40.650002,42.930000,41.922890,140641600
2018-05-01,42.860001,45.820000,41.470001,43.540001,42.518578,130062500
2018-06-01,44.049999,45.020000,37.060001,37.959999,37.156162,125838500
2018-07-01,37.740002,40.860001,35.639999,39.540001,38.702713,159727500
2018-08-01,39.380001,41.040001,36.419998,40.480000,39.622807,127662600
2018-09-01,40.320000,43.889999,38.150002,41.330002,40.560375,116498600
2018-10-01,41.410000,41.750000,30.240000,35.080002,34.426765,273883500
2018-11-01,35.299999,40.200001,34.840000,40.160000,39.412163,182750300
2018-12-01,40.570000,40.580002,29.590000,32.110001,31.599047,165850500
2019-01-01,31.459999,37.080002,28.809999,35.770000,35.200802,212732200
2019-02-01,35.770000,37.230000,34.770000,35.630001,35.063030,128453000
2019-03-01,35.580002,35.959999,29.969999,31.760000,31.339825,152767200
2019-04-01,31.980000,35.240002,31.700001,34.180000,33.727806,128667400
2019-05-01,34.299999,34.900002,27.110001,27.230000,26.869753,133158400
2019-06-01,27.120001,33.810001,27.020000,32.610001,32.271446,124909600
2019-07-01,33.139999,34.990002,30.209999,30.510000,30.193247,128999900
2019-08-01,30.430000,30.570000,24.230000,26.309999,26.036852,168599300
2019-09-01,26.160000,30.340000,25.950001,26.969999,26.783880,141809000
2019-10-01,27.080000,31.670000,24.510000,30.059999,29.852554,193264300
2019-11-01,30.299999,31.580000,27.840000,28.740000,28.541664,115120700
2019-12-01,28.790001,29.809999,26.680000,28.680000,28.574404,133826900
