Quarter,Passenger_revenue
Q1 2017,4424
Q2 2017,5233
Q3 2017,4745
Q4 2017,4739
Q1 2018,4585
Q2 2018,5358
Q3 2018,5575
Q4 2018,4937
Q1 2019,4745
Q2 2019,5487
Q3 2019,5230
Q4 2019,5314
