Quarter,Passenger_revenue
Q1 2017,8155
Q2 2017,9582
Q3 2017,9377
Q4 2017,9019
Q1 2018,9480
Q2 2018,10674
Q3 2018,10561
Q4 2018,9961
Q1 2019,9658
Q2 2019,11011
Q3 2019,10995
Q4 2019,10346
