Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,49.369999,52.000000,46.570000,47.240002,43.645393,165064700
2017-02-01,47.480000,51.959999,46.480000,49.930000,46.130703,133429300
2017-03-01,50.410000,51.869999,44.470001,45.959999,42.631783,215936500
2017-04-01,45.959999,47.549999,43.810001,45.439999,42.149437,173916400
2017-05-01,45.590000,50.950001,45.400002,49.130001,45.572227,163479400
2017-06-01,49.320000,54.529999,49.299999,53.740002,50.053627,175868300
2017-07-01,54.259998,55.750000,49.259998,49.360001,45.974075,161568200
2017-08-01,49.779999,51.549999,45.000000,47.189999,43.952927,165127400
2017-09-01,47.419998,49.279999,44.590000,48.220001,45.202339,164672300
2017-10-01,48.349998,54.060001,47.900002,50.029999,46.899067,161469100
2017-11-01,50.189999,53.500000,48.330002,52.919998,49.608204,120895100
2017-12-01,52.549999,56.840000,51.759998,56.000000,52.822044,137221700
2018-01-01,56.290001,60.790001,53.880001,56.770000,53.548351,217524400
2018-02-01,56.509998,57.180000,48.520000,53.900002,50.841221,156682300
2018-03-01,53.869999,57.310001,51.810001,54.810001,51.997913,136801500
2018-04-01,54.590000,56.020000,50.950001,52.220001,49.540802,166861300
2018-05-01,52.270000,56.119999,51.090000,54.049999,51.276905,138665600
2018-06-01,54.419998,55.840000,49.049999,49.540001,47.277637,133617700
2018-07-01,49.250000,55.049999,48.520000,54.419998,51.934784,150839400
2018-08-01,54.790001,58.869999,52.939999,58.480000,56.189915,96064700
2018-09-01,58.500000,60.230000,55.689999,57.830002,55.565372,100806000
2018-10-01,57.990002,58.139999,49.680000,54.730000,52.586761,186771600
2018-11-01,54.930000,61.320000,54.750000,60.709999,58.332584,131488300
2018-12-01,61.000000,61.070000,47.900002,49.900002,48.247185,145415900
2019-01-01,49.250000,50.450001,45.080002,49.430000,47.792755,199934200
2019-02-01,49.630001,52.220001,49.540001,49.580002,47.937786,128870700
2019-03-01,49.369999,52.080002,48.220001,51.650002,50.288239,166809100
2019-04-01,51.820000,58.990002,51.520000,58.290001,56.753170,148486000
2019-05-01,58.200001,58.509998,51.310001,51.500000,50.142193,87101100
2019-06-01,51.480000,57.419998,51.410000,56.750000,55.587547,100204800
2019-07-01,57.299999,63.439999,57.250000,61.040001,59.789673,145644600
2019-08-01,61.310001,61.770000,55.570000,57.860001,57.039162,112141700
2019-09-01,57.439999,60.580002,56.650002,57.599998,56.782845,106340200
2019-10-01,58.049999,58.680000,51.070000,55.080002,54.298599,177485000
2019-11-01,55.549999,58.430000,55.119999,57.310001,56.916679,105598900
2019-12-01,57.250000,59.919998,54.540001,58.480000,58.078648,100565600
